Header Size:	8
Name:	STANDARDIZED 
Date:	Fri Feb 27 16:45:56 2015
Coordinate System:	Global Coordinate System
Character Dimensions:	3	6
TCP Rotation Matrix:	0	0	-1	0	1	0	1	0	0
Column Fields:	CartesianPosition
Column Element Size:	3
Entries:	1637
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	-0.000001	0.000000
0.000000	0.000000	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	0.000000	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	0.000000	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	-0.000001	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000001	0.000000
0.000000	0.000001	0.000000
0.000000	0.000001	0.000000
0.000000	0.000001	0.000000
0.000000	0.000001	0.000000
0.000000	0.000001	0.000000
-0.000001	0.000002	0.000000
-0.000001	0.000002	0.000000
-0.000001	0.000002	0.000000
-0.000001	0.000002	0.000000
-0.000001	0.000002	0.000000
-0.000001	0.000002	0.000000
-0.000001	0.000003	0.000000
-0.000001	0.000003	0.000000
-0.000001	0.000003	0.000000
-0.000001	0.000003	0.000000
-0.000001	0.000004	0.000000
-0.000001	0.000004	0.000000
-0.000001	0.000006	0.000000
-0.000001	0.000006	0.000000
-0.000001	0.000008	0.000000
-0.000002	0.000013	-0.000001
-0.000002	0.000017	-0.000001
-0.000003	0.000023	-0.000001
-0.000003	0.000029	-0.000002
-0.000004	0.000036	-0.000002
-0.000005	0.000042	-0.000002
-0.000005	0.000047	-0.000003
-0.000006	0.000052	-0.000003
-0.000006	0.000057	-0.000003
-0.000007	0.000064	-0.000004
-0.000007	0.000072	-0.000004
-0.000008	0.000079	-0.000005
-0.000010	0.000088	-0.000004
-0.000010	0.000094	-0.000005
-0.000011	0.000101	-0.000005
-0.000011	0.000107	-0.000005
-0.000012	0.000114	-0.000005
-0.000013	0.000120	-0.000006
-0.000014	0.000127	-0.000006
-0.000014	0.000135	-0.000007
-0.000016	0.000146	-0.000007
